dataset,n_samples,n_features,param_family_mode,tau_mult,min_region_size,family_dbscan_eps,pair,balacc,precision,recall,f1,winning_planes,candidates_pair,candidates_global,regions_global
corner_small,1120,4,greedy,0.5,20,,0-1,0.9440476190476152,0.9264705882352942,0.9,0.9130434782608695,6,132,132,132
corner_small,1120,4,greedy,0.5,20,,0-2,0.9999999999999929,1.0,1.0,1.0,6,132,132,132
corner_small,1120,4,greedy,0.5,20,,1-2,0.7499999999999961,1.0,0.5,0.6666666666666666,1,132,132,132
corner_small,1120,4,greedy,0.75,35,,0-1,0.9440476190476152,0.9264705882352942,0.9,0.9130434782608695,6,126,126,126
corner_small,1120,4,greedy,0.75,35,,0-2,0.9999999999999929,1.0,1.0,1.0,6,126,126,126
corner_small,1120,4,greedy,0.75,35,,1-2,0.7499999999999961,1.0,0.5,0.6666666666666666,1,126,126,126
corner_small,1120,4,connected,0.5,20,,0-1,0.9440476190476152,0.9264705882352942,0.9,0.9130434782608695,6,132,132,132
corner_small,1120,4,connected,0.5,20,,0-2,0.9999999999999929,1.0,1.0,1.0,6,132,132,132
corner_small,1120,4,connected,0.5,20,,1-2,0.7499999999999961,1.0,0.5,0.6666666666666666,1,132,132,132
corner_small,1120,4,connected,0.75,35,,0-1,0.9440476190476152,0.9264705882352942,0.9,0.9130434782608695,6,124,124,124
corner_small,1120,4,connected,0.75,35,,0-2,0.9999999999999929,1.0,1.0,1.0,6,124,124,124
corner_small,1120,4,connected,0.75,35,,1-2,0.7499999999999961,1.0,0.5,0.6666666666666666,1,124,124,124
corner_small,1120,4,dbscan,0.5,20,0.3,0-1,0.9440476190476152,0.9264705882352942,0.9,0.9130434782608695,6,132,132,132
corner_small,1120,4,dbscan,0.5,20,0.3,0-2,0.9999999999999929,1.0,1.0,1.0,6,132,132,132
corner_small,1120,4,dbscan,0.5,20,0.3,1-2,0.7499999999999961,1.0,0.5,0.6666666666666666,1,132,132,132
corner_small,1120,4,dbscan,0.75,35,0.3,0-1,0.9440476190476152,0.9264705882352942,0.9,0.9130434782608695,6,124,124,124
corner_small,1120,4,dbscan,0.75,35,0.3,0-2,0.9999999999999929,1.0,1.0,1.0,6,124,124,124
corner_small,1120,4,dbscan,0.75,35,0.3,1-2,0.7499999999999961,1.0,0.5,0.6666666666666666,1,124,124,124
corner_large,2080,4,greedy,0.5,20,,0-1,0.9423076923076903,0.9069767441860465,0.9,0.9034749034749034,6,132,132,132
corner_large,2080,4,greedy,0.5,20,,0-2,0.9865384615384577,0.9884169884169884,0.9846153846153847,0.9865125240847784,6,132,132,132
corner_large,2080,4,greedy,0.5,20,,1-2,0.7499999999999979,1.0,0.5,0.6666666666666666,1,132,132,132
corner_large,2080,4,greedy,0.75,35,,0-1,0.9423076923076903,0.9069767441860465,0.9,0.9034749034749034,6,130,130,130
corner_large,2080,4,greedy,0.75,35,,0-2,0.9865384615384577,0.9884169884169884,0.9846153846153847,0.9865125240847784,6,130,130,130
corner_large,2080,4,greedy,0.75,35,,1-2,0.7499999999999979,1.0,0.5,0.6666666666666666,1,130,130,130
corner_large,2080,4,connected,0.5,20,,0-1,0.9423076923076903,0.9069767441860465,0.9,0.9034749034749034,6,132,132,132
corner_large,2080,4,connected,0.5,20,,0-2,0.9865384615384577,0.9884169884169884,0.9846153846153847,0.9865125240847784,6,132,132,132
corner_large,2080,4,connected,0.5,20,,1-2,0.7499999999999979,1.0,0.5,0.6666666666666666,1,132,132,132
corner_large,2080,4,connected,0.75,35,,0-1,0.9423076923076903,0.9069767441860465,0.9,0.9034749034749034,6,130,130,130
corner_large,2080,4,connected,0.75,35,,0-2,0.9865384615384577,0.9884169884169884,0.9846153846153847,0.9865125240847784,6,130,130,130
corner_large,2080,4,connected,0.75,35,,1-2,0.7499999999999979,1.0,0.5,0.6666666666666666,1,130,130,130
corner_large,2080,4,dbscan,0.5,20,0.3,0-1,0.9423076923076903,0.9069767441860465,0.9,0.9034749034749034,6,132,132,132
corner_large,2080,4,dbscan,0.5,20,0.3,0-2,0.9865384615384577,0.9884169884169884,0.9846153846153847,0.9865125240847784,6,132,132,132
corner_large,2080,4,dbscan,0.5,20,0.3,1-2,0.7499999999999979,1.0,0.5,0.6666666666666666,1,132,132,132
corner_large,2080,4,dbscan,0.75,35,0.3,0-1,0.9423076923076903,0.9069767441860465,0.9,0.9034749034749034,6,130,130,130
corner_large,2080,4,dbscan,0.75,35,0.3,0-2,0.9865384615384577,0.9884169884169884,0.9846153846153847,0.9865125240847784,6,130,130,130
corner_large,2080,4,dbscan,0.75,35,0.3,1-2,0.7499999999999979,1.0,0.5,0.6666666666666666,1,130,130,130
highdim_mid,6000,18,greedy,0.5,20,,0-1,0.8466923847695387,0.9288806431663574,0.751,0.8305225324854852,6,489,489,489
highdim_mid,6000,18,greedy,0.5,20,,0-2,0.8488128742514967,0.9234972677595629,0.7605,0.834110227584316,6,489,489,489
highdim_mid,6000,18,greedy,0.5,20,,1-2,0.8206107824431293,0.8720186154741129,0.751002004008016,0.8069986541049797,6,489,489,489
highdim_mid,6000,18,greedy,0.75,35,,0-1,0.8466923847695387,0.9288806431663574,0.751,0.8305225324854852,6,477,477,477
highdim_mid,6000,18,greedy,0.75,35,,0-2,0.8488128742514967,0.9234972677595629,0.7605,0.834110227584316,6,477,477,477
highdim_mid,6000,18,greedy,0.75,35,,1-2,0.8206107824431293,0.8720186154741129,0.751002004008016,0.8069986541049797,6,477,477,477
highdim_mid,6000,18,connected,0.5,20,,0-1,0.8466923847695387,0.9288806431663574,0.751,0.8305225324854852,6,487,487,487
highdim_mid,6000,18,connected,0.5,20,,0-2,0.8488128742514967,0.9234972677595629,0.7605,0.834110227584316,6,487,487,487
highdim_mid,6000,18,connected,0.5,20,,1-2,0.8206107824431293,0.8720186154741129,0.751002004008016,0.8069986541049797,6,487,487,487
highdim_mid,6000,18,connected,0.75,35,,0-1,0.8466923847695387,0.9288806431663574,0.751,0.8305225324854852,6,473,473,473
highdim_mid,6000,18,connected,0.75,35,,0-2,0.8488128742514967,0.9234972677595629,0.7605,0.834110227584316,6,473,473,473
highdim_mid,6000,18,connected,0.75,35,,1-2,0.8206107824431293,0.8720186154741129,0.751002004008016,0.8069986541049797,6,473,473,473
highdim_mid,6000,18,dbscan,0.5,20,0.3,0-1,0.8466923847695387,0.9288806431663574,0.751,0.8305225324854852,6,487,487,487
highdim_mid,6000,18,dbscan,0.5,20,0.3,0-2,0.8488128742514967,0.9234972677595629,0.7605,0.834110227584316,6,487,487,487
highdim_mid,6000,18,dbscan,0.5,20,0.3,1-2,0.8206107824431293,0.8720186154741129,0.751002004008016,0.8069986541049797,6,487,487,487
highdim_mid,6000,18,dbscan,0.75,35,0.3,0-1,0.8466923847695387,0.9288806431663574,0.751,0.8305225324854852,6,473,473,473
highdim_mid,6000,18,dbscan,0.75,35,0.3,0-2,0.8488128742514967,0.9234972677595629,0.7605,0.834110227584316,6,473,473,473
highdim_mid,6000,18,dbscan,0.75,35,0.3,1-2,0.8206107824431293,0.8720186154741129,0.751002004008016,0.8069986541049797,6,473,473,473
highdim_large,12000,28,greedy,0.5,20,,0-1,0.817165715630331,0.8661870503597122,0.7504363001745201,0.8041677798557306,6,600,600,600
highdim_large,12000,28,greedy,0.5,20,,0-2,0.7454566771198479,0.745404868355688,0.7481924707055597,0.746796068184646,1,600,600,600
highdim_large,12000,28,greedy,0.5,20,,1-2,0.747293387031271,0.7779333520022402,0.6936329588014981,0.7333685322069694,1,600,600,600
highdim_large,12000,28,greedy,0.75,35,,0-1,0.817165715630331,0.8661870503597122,0.7504363001745201,0.8041677798557306,6,596,596,596
highdim_large,12000,28,greedy,0.75,35,,0-2,0.7454566771198479,0.745404868355688,0.7481924707055597,0.746796068184646,1,596,596,596
highdim_large,12000,28,greedy,0.75,35,,1-2,0.747293387031271,0.7779333520022402,0.6936329588014981,0.7333685322069694,1,596,596,596
highdim_large,12000,28,connected,0.5,20,,0-1,0.817165715630331,0.8661870503597122,0.7504363001745201,0.8041677798557306,6,600,600,600
highdim_large,12000,28,connected,0.5,20,,0-2,0.7454566771198479,0.745404868355688,0.7481924707055597,0.746796068184646,1,600,600,600
highdim_large,12000,28,connected,0.5,20,,1-2,0.747293387031271,0.7779333520022402,0.6936329588014981,0.7333685322069694,1,600,600,600
highdim_large,12000,28,connected,0.75,35,,0-1,0.817165715630331,0.8661870503597122,0.7504363001745201,0.8041677798557306,6,593,593,593
highdim_large,12000,28,connected,0.75,35,,0-2,0.7454566771198479,0.745404868355688,0.7481924707055597,0.746796068184646,1,593,593,593
highdim_large,12000,28,connected,0.75,35,,1-2,0.747293387031271,0.7779333520022402,0.6936329588014981,0.7333685322069694,1,593,593,593
highdim_large,12000,28,dbscan,0.5,20,0.3,0-1,0.817165715630331,0.8661870503597122,0.7504363001745201,0.8041677798557306,6,600,600,600
highdim_large,12000,28,dbscan,0.5,20,0.3,0-2,0.7454566771198479,0.745404868355688,0.7481924707055597,0.746796068184646,1,600,600,600
highdim_large,12000,28,dbscan,0.5,20,0.3,1-2,0.747293387031271,0.7779333520022402,0.6936329588014981,0.7333685322069694,1,600,600,600
highdim_large,12000,28,dbscan,0.75,35,0.3,0-1,0.817165715630331,0.8661870503597122,0.7504363001745201,0.8041677798557306,6,593,593,593
highdim_large,12000,28,dbscan,0.75,35,0.3,0-2,0.7454566771198479,0.745404868355688,0.7481924707055597,0.746796068184646,1,593,593,593
highdim_large,12000,28,dbscan,0.75,35,0.3,1-2,0.747293387031271,0.7779333520022402,0.6936329588014981,0.7333685322069694,1,593,593,593
mixed_easy,4500,12,greedy,0.5,20,,0-1,0.8629996831042093,0.9240898528272656,0.7916390179163901,0.8527519656897784,6,275,275,275
mixed_easy,4500,12,greedy,0.5,20,,0-2,0.8850971024109705,0.9475713184271396,0.8155275381552753,0.8766048502139799,6,275,275,275
mixed_easy,4500,12,greedy,0.5,20,,1-2,0.8351665550346055,0.8714710252600297,0.7856664434025452,0.8263473053892215,6,275,275,275
mixed_easy,4500,12,greedy,0.75,35,,0-1,0.8629996831042093,0.9240898528272656,0.7916390179163901,0.8527519656897784,6,269,269,269
mixed_easy,4500,12,greedy,0.75,35,,0-2,0.8850971024109705,0.9475713184271396,0.8155275381552753,0.8766048502139799,6,269,269,269
mixed_easy,4500,12,greedy,0.75,35,,1-2,0.8351665550346055,0.8714710252600297,0.7856664434025452,0.8263473053892215,6,269,269,269
mixed_easy,4500,12,connected,0.5,20,,0-1,0.8629996831042093,0.9240898528272656,0.7916390179163901,0.8527519656897784,6,273,273,273
mixed_easy,4500,12,connected,0.5,20,,0-2,0.8850971024109705,0.9475713184271396,0.8155275381552753,0.8766048502139799,6,273,273,273
mixed_easy,4500,12,connected,0.5,20,,1-2,0.8351665550346055,0.8714710252600297,0.7856664434025452,0.8263473053892215,6,273,273,273
mixed_easy,4500,12,connected,0.75,35,,0-1,0.8629996831042093,0.9240898528272656,0.7916390179163901,0.8527519656897784,6,265,265,265
mixed_easy,4500,12,connected,0.75,35,,0-2,0.8850971024109705,0.9475713184271396,0.8155275381552753,0.8766048502139799,6,265,265,265
mixed_easy,4500,12,connected,0.75,35,,1-2,0.8351665550346055,0.8714710252600297,0.7856664434025452,0.8263473053892215,6,265,265,265
mixed_easy,4500,12,dbscan,0.5,20,0.3,0-1,0.8629996831042093,0.9240898528272656,0.7916390179163901,0.8527519656897784,6,273,273,273
mixed_easy,4500,12,dbscan,0.5,20,0.3,0-2,0.8850971024109705,0.9475713184271396,0.8155275381552753,0.8766048502139799,6,273,273,273
mixed_easy,4500,12,dbscan,0.5,20,0.3,1-2,0.8351665550346055,0.8714710252600297,0.7856664434025452,0.8263473053892215,6,273,273,273
mixed_easy,4500,12,dbscan,0.75,35,0.3,0-1,0.8629996831042093,0.9240898528272656,0.7916390179163901,0.8527519656897784,6,265,265,265
mixed_easy,4500,12,dbscan,0.75,35,0.3,0-2,0.8850971024109705,0.9475713184271396,0.8155275381552753,0.8766048502139799,6,265,265,265
mixed_easy,4500,12,dbscan,0.75,35,0.3,1-2,0.8351665550346055,0.8714710252600297,0.7856664434025452,0.8263473053892215,6,265,265,265
